Jeg er i fængslet.	I'm at the prison.
Hvilket sprog taler man i Egypten?	What language do they speak in Egypt?
Dette æble er dårligt.	This apple is bad.
Hvidt brød, tak.	White bread, please.
Det tog to uger.	It took two weeks.
Denne gamle bil er din hvis du vil have den.	This old car is yours if you want it.
Jeg tror at du er blevet snydt.	I believe you've been had.
Du tog fejl.	You were wrong.
Tom klatrede ned fra træet.	Tom climbed down from the tree.
Tom bad mig om at gøre dette.	Tom asked me to do this.
Hvor er nærmeste togstation?	Where's the closest train station?
Foråret er her.	Spring is here.
Jeg har glemt hvor jeg har lagt mit pas.	I've forgotten where I put my passport.
Hun købte et dusin æg.	She bought a dozen eggs.
De fleste mennesker ønsker kun at høre deres egen sandhed.	Most people only want to hear their own truth.
Tom lagde sin pung på bordet.	Tom put his wallet on the table.
Hellere død end rød.	Better dead than red.
Du bruger for meget tid foran computeren.	You spend too much time in front of your computer.
Dette brød er meget lækker.	This bread is very delicious.
Tom inviterede Mary på date, men hun sagde nej. Et år senere blev de gift.	Tom asked Mary out on a date, but she said no. A year later they were married.
Jeg læser tit tegneserier.	I often read comic books.
Havet er blåt.	The sea is blue.
Det vil ikke vare længe, før han vender hjem.	It won't be long before he returns home.
Jeg elsker æggeblommer.	I love egg yolks.
Disse er nye.	These are new.
Han er vore dages Chopin.	He is a Chopin for our times.
Den 20. oktober er en mandag.	October 20th is a Monday.
Jeg har sendt en e-mail til dig.	I sent you an e-mail.
Tom var tæt på at blive ramt af en bil.	Tom came close to being hit by a car.
Fugle sang i himlen.	Birds were singing in the sky.
Gær får dej til at hæve.	Yeast makes dough rise.
Våren er kommet.	Spring has come.
Filmen var så trist at alle græd.	The movie was so sad that everybody cried.
Denne larve vil blive til en smuk sommerfugl.	This caterpillar will become a beautiful butterfly.
Har du nogensinde overvejet at gøre det?	Have you ever thought about doing that?
Dette sker ikke igen.	This won't happen again.
Jeg gav det en chance, da jeg finder at alting er værd at give en chance. Men at sammensætte et program som dette er ikke noget, jeg kan leve op til.	I gave it a try figuring that anything is worth a try. But putting together a program like this is something I'm no match for.
Hun ønsker ikke at sælge sin bil.	She doesn't want to sell her car.
Tom sankede kvas til bålet.	Tom gathered sticks for the fire.
Tom og jeg er partnere.	Tom and I are partners.
Pigen dufter til blomsterne.	The girl is smelling the flowers.
Jeg vil hjælpe dig.	I'll help you.
Lad mig hjælpe dig. Din taske ser meget tung ud.	Let me help you. Your bag looks very heavy.
Hun gør ikke andet end at græde.	She does nothing but cry.
Jeg ved ikke om han er læge.	I don't know if he's a doctor.
Hun kyssede ham.	She kissed him.
Tom ved ikke hvorfor Mary og John ikke kan lide hinanden.	Tom doesn't know why Mary and John don't like each other.
Tom og Mary cykler normalt i skole.	Tom and Mary usually go to school by bicycle.
Hvorfor tager vi ikke til stranden sammen?	Why don't we go to the beach together?
Tom gav læreren et æble.	Tom gave an apple to the teacher.
Vil du vente på os ved stationen?	Will you wait for us at the station?
Hun faldt i søvn på min skulder.	She fell asleep on my shoulder.
Jeg tager hyppigere til Bryssel end til Paris.	I more often go to Brussels than Paris.
Jeg tror at du hellere må holde lav profil indtil hun tilgiver dig.	I think you'd better lie low until she forgives you.
Spørg en politimand!	Ask a policeman!
Han underviser i arabisk.	He teaches Arabic.
Tom har store hænder.	Tom has big hands.
Regeringsbeslutningen havde katastrofale økonomiske konsekvenser.	The government's decision had disastrous economic consequences.
Tom bliver berettiget til prøveløsladelse næste år.	Tom will be eligible for parole next year.
Branden er under kontrol.	The fire is under control.
Det er altid svært at skrive starten af et brev.	It's always difficult to start a letter.
Hvad? Koster denne T-shirt 3000 yen? Det er ågerpris!	What! This T-shirt is 3,000 yen? This is a rip-off!
Ghulja har rigtig mange slags æbler.	Ghulja has very many kinds of apples.
Hun ryger tyve cigaretter om dagen.	She smokes twenty cigarettes a day.
Tom nægtede at han var tyven.	Tom denied that he was the thief.
Er du blind?	Are you blind?
Mary barberede sine ben.	Mary shaved her legs.
Jeg kan ikke bare ignorere Tom.	I can't just ignore Tom.
Det er ikke så slemt.	It's no big deal.
Vær skånselsløs!	Be merciless.
Blomsten er magenta.	The flower is magenta.
Tom er møller.	Tom is a miller.
Hun gav ham et foragteligt blik.	She gave him a dirty look.
Mine bukser er våde.	My trousers are wet.
Tom vil ikke sælge sin bil.	Tom doesn't want to sell his car.
Tom har været der siden 2013.	Tom has been there since 2013.
Tom havde ikke lyst til at arbejde over juleaften.	Tom didn't want to work overtime on Christmas Eve.
Jeg har brug for en metalsav for at kunne færdiggøre dette arbejde.	I need a hacksaw to finish this job.
Du er meget arrogant.	You're very arrogant.
Du har mange fjender.	You've got a lot of enemies.
Vær så venlig at sætte mig af ved stationen.	Let me off at the train station, please.
Tom og Mary besluttede sig for at tage afsted.	Tom and Mary decided to leave.
Jeg har ikke set en hetero i over en uge.	I haven't seen a straight person in over a week.
Har du tegnet en rejseforsikring?	Do you have travel insurance?
Jeg har fået nok af det her.	I've had enough of this.
Tom har vandrestøvler på.	Tom is wearing hiking boots.
Du er i vejen.	You're in the way.
Hvorfor kigger du på dit ur hele tiden?	Why do you look at your watch all the time?
Hvad har du lavet i dag?	What were you doing today?
Vandet katten drak, var ikke salt.	The water the cat drank was not salty.
Tom tror ikke at Mary er lykkelig.	Tom doesn't believe that Mary is happy.
De eneste nyttige svar er de, der rejser nye spørgsmål.	The only useful answers are those that raise new questions.
Det er spild af penge.	That's a waste of money.
Ved I hvor jeres børn er?	Do you know where your children are?
Jeg ønsker at tale med en advokat.	I want to speak to a lawyer.
Tom renoverede et hus.	Tom renovated a house.
Tom ledte efter Mary overalt.	Tom looked for Mary everywhere.
Må jeg spise dette æble?	May I eat this apple?
Tom gik hen til butikken for at købe nogle æbler.	Tom went to the store to buy some apples.
Jeg mistede besindelsen.	I lost my temper.
Jeg kan se hvorfor det er fortroligt.	I can see why it's confidential.
Er udtalen korrekt?	Is the pronunciation correct?
Hvad er det?	What is it?
Tom lader som om han ikke engang kender Mary.	Tom acts like he doesn't even know Mary.
Jeg bygger en mur.	I am building a wall.
Jeg går på indkøb hver morgen.	I go shopping every morning.
Hør godt efter hvad jeg siger til dig.	Listen up well to what I say to you.
Jeg kan ikke hjælpe dig med dette.	I can't help you with this.
Hun er en sød pige.	She's a sweet girl.
Bor Tom langt væk fra dig?	Does Tom live far from you?
Hvem ville tvivle på det?	Who would doubt that!
Er det for salt?	Is it too salty?
Tom og Mary spiser ikke længere kød.	Tom and Mary don't eat meat anymore.
Flere og flere ældre kvinder drikker sig sanseløst berusede.	More and more older women are doing binge drinking.
Babyen har brug for sin mor.	The baby needs his mother.
Tom havde vel en grund.	Tom must've had a reason.
Jeg lytter, men jeg hører ikke.	I listen, but I don't hear.
Det er en joke.	It's a joke.
Tom bemærkede at Mary stirrede på ham.	Tom noticed that Mary was staring at him.
Lad os diskutere det over en kop kaffe!	Let's talk about it while we drink a cup of coffee.
Sagde han ikke til jer hvem han var?	Didn't he tell you who he was?
Alle ved at det var Tom der smadrede vinduet.	Everyone knows Tom was the one who broke the window.
Tom er undværlig.	Tom is expendable.
Hun kunne lide den.	She liked it.
Han greb hendes arm.	He grabbed her arm.
Tak til enhver som har været en del af mit liv her i Storbritannien.	Thank you to everyone who has been a part of my life here in the UK.
Bliv hvor du er. Jeg tilkalder en ambulance.	Stay put. I'm calling an ambulance.
Skynd dig! Toget kører om lidt.	Hurry up! The train is about to leave.
Han så aldrig Tom igen.	He never saw Tom again.
"Tak." "Selv tak."	"Thank you." "You're welcome."
Tom spiste hårdkogte æg.	Tom ate hard-boiled eggs.
Tom vander haven.	Tom is watering the garden.
Jeg pantsatte min guitar så jeg kunne betale huslejen.	I pawned my guitar so I could pay the rent.
Der plejede at være en kaffebar nær ved parken.	There used to be a coffee shop near the park.
Du ville blive overrasket over hvor mange æbler du kan købe for to hundrede dollar.	You'd be amazed how many apples you can buy for two hundred dollars.
Tom troede, at Mary og jeg skulle gøre det selv.	Tom thought Mary and I were supposed to do that by ourselves.
Kolibrien er den mindste fugl i verden.	The hummingbird is the smallest bird in the world.
Hun er en møgkælling.	She's a bitch.
Hun havde glemt sin paraply så jeg lånte hende min.	She had forgotten her umbrella so I lent her mine.
Jeg vil gerne have et æble.	I would like an apple.
Var du med til koncerten?	Were you at the concert?
Den blomst forsøgte at angribe mig.	That flower tried to attack me.
Sami tog sine nøgler og sin mobiltelefon med sig.	Sami took his keys and cell phone with him.
Min bror er rig.	My brother is rich.
Hvad laver du oppe på den her tid af natten?	What are you doing up at this time of night?
Hvad er dine planer for weekenden?	What are your weekend plans?
Mustafa Kemal Atatürk udråbte Den Tyrkiske Republik i 1922.	Mustafa Kemal Ataturk proclaimed the Turkish Republic in 1922.
Biblioteket er midlertidig lukket for offentligheden.	The library is temporarily closed to the public.
Ingen vidste hvem hun var.	No one knew who she was.
Han gik agurk.	He went ballistic.
Du ønsker at betale kontant?	You want to pay in cash?
Hvor længe vil du blive?	How long will you stay?
Han graver sin egen grav.	He's digging his own grave.
Du sammenligner æbler og appelsiner!	You're comparing apples and oranges.
Min mobiltelefon virker ikke.	My cell phone doesn't work.
De tre kvinder smilede.	The three women smiled.
Jeg lærer tyrkisk.	I learn Turkish.
Jeg måtte vente til Tom sov.	I had to wait until Tom was asleep.
Jeg må have glemt det.	I must've forgotten.
Fuglen er i himmelen.	The bird is in heaven.
Skummetmælk til mig.	I'll have skim milk.
Glødepærer bruger strøm.	Lightbulbs consume electricity.
Hun har en god røv.	She has a nice ass.
Jeg kan lide din nye frisure.	I like your new hairstyle.
Jeg forstår.	I understand.
Jeg vil gerne være dyrlæge.	I'd like to be a veterinarian.
Må jeg tænde for fjernsynet?	Can I turn on the TV?
Du er en god dreng.	You are a good boy.
Sami havde en forkærlighed for pool.	Sami had a liking for pool.
Resultatet af at dividere omkredsen af en cirkel med dens diameter er lig med pi.	The result of dividing the circumference of a circle by its diameter is equal to pi.
Man bør have hjelm på når man kører på motorcykel.	You should wear a helmet when riding a motorcycle.
Tom var en bitter og livstræt gammel mand.	Tom was an embittered old man who was weary of life.
Hvad er der galt?	What's wrong?
Jeg har set masser af koncerter.	I've seen loads of concerts.
Hun bor alene på værelset.	She lives alone in the room.
Ved du hvem der slog Tom ihjel?	Do you know who killed Tom?
Lad ham spille på din guitar.	Let him play your guitar.
Jeg tvivler på at Bob kommer til tiden.	I doubt if Bob will come on time.
Hvorfor prøvede du at løbe væk?	Why did you try to run away?
Tom købte et meget billigt kamera.	Tom bought a very cheap camera.
Svaret er nej.	The answer's no.
Har du noget æblepie i dag?	Do you have any apple pie today?
Hvorfor har du tre biler?	Why do you have three cars?
Jeg vil gerne have en lille snak med dig om Tom.	I want to have a little chat with you about Tom.
Det sner kraftigt.	It snows hard.
Han er en kreationist.	He's a creationist.
Jeg kan ikke lide at studere.	I don't like studying.
Jeg er slet ikke sulten.	I'm not hungry at all.
Hvorfor tror du det skete?	Why do you think that happened?
Jeg er volleyballspiller.	I'm a volleyball player.
Han lagde røret på.	He hung up on me.
Denne hund er min.	This dog is mine.
Hvorfor hjælper du ikke Tom?	Why don't you help Tom?
Tom tændte en tændstik.	Tom lit a match.
Jeg forstår overhovedet ikke fransk.	I don't understand French at all.
Jeg kom få minutter for sent til toget.	I missed the train by only a few minutes.
Jeg taler irsk.	I speak Irish.
Dette program sendes hver anden uge.	This program is broadcast every other week.
Er det jeres bog?	Is that your book?
Hun står og venter.	She is waiting.
Det var en hundreddollarseddel.	It was a one hundred dollar bill.
Morgenmaden er serveret.	Breakfast is served.
Kun Tom ved det.	Only Tom knows that.
Jeg ser tv om aftenen.	I watch television in the evening.
Ken råbte om hjælp.	Ken cried for help.
Regeringens beslutning havde katastrofale økonomiske konsekvenser.	The government's decision had disastrous economic consequences.
Canada ligger nord for USA.	Canada is to the north of the United States.
Om natten er alle katte grå.	At night all cats are grey.
Min kat spiser kun vådkost.	My cat only eats wet food.
Jeg kender hans hemmelighed.	I know his secret.
"Op med humøret!," sagde hun til mig.	"Cheer up," she said to me.
Tom behøver ikke at komme her i morgen.	Tom doesn't have to come here tomorrow.
Han var stiv af skræk.	He was rigid with terror.
Tom trøster Mary.	Tom is consoling Mary.
Jeg spiste de grønne æbler.	I ate the green apples.
Kvinder er følsomme.	Women are sensitive.
Sumatra er en ø.	Sumatra is an island.
Der var kun to muligheder tilbage for ham for at få noget at spise. Han måtte enten arbejde eller tigge.	There were only two means left to him in order to get a bite to eat. He had either to work or to beg.
Tom lytter i smug.	Tom's eavesdropping.
Jeg skriver korte sætninger på svensk.	I write short sentences in Swedish.
Toms syn er ikke så godt som det plejede at være.	Tom's eyesight isn't as good as it used to be.
Den Europæiske Union oprettes med det formål at gøre en ende på de mange blodige nabokrige, der kulminerede med den anden verdenskrig.	The European Union is set up with the aim of ending the frequent and bloody wars between neighbours, which culminated in the Second World War.
Billedet af ulykken giver mig kvalme.	The picture of the accident makes me sick.
I en uge er der syv dage.	In one week there are seven days.
Det var mørkt.	It was dark.
Spar mig for sympatien.	Spare me the sympathy.
Vi er ikke bange for terrorister.	We're not afraid of terrorists.
Jeg er en viking.	I am a Viking.
Mit ur er præcist.	My watch is accurate.
Tom skar nogle grene af æbletræet.	Tom cut some branches off the apple tree.
Jeg bor i en by.	I'm living in a town.
Skriv dit navn fuldt ud.	Write your name in full.
Drengen gjorde sig selv til grin.	The boy made a fool of himself.
Lad være at stirre på mig.	Don't stare at me.
De frygtede dig.	They feared you.
Det går ham godt.	He is doing well.
Jeg bad Mary om at danse med mig.	I asked Mary to dance with me.
Min søster er en meget smuk pige.	My sister is a very beautiful girl.
Er jeg under mistanke?	Am I under suspicion?
Tom kommer ikke, og Mary kommer heller ikke.	Tom won't come, and Mary won't either.
Mary og Tom har en hestebil.	Mary and Tom have a horse truck.
Man kalder ham Dave.	People call him Dave.
Jeg har ikke vandet.	I don't have the water.
Hans vittigheder morede mig.	His jokes amused me.
Han er sent udviklet.	He's a late developer.
"Kan I godt lide slanger?" "Selvfølgelig ikke."	"Do you like snakes?" "Of course not."
Børn behøver mange ting, men mest af alt kærlighed.	Children need many things, but above all they need love.
Jeg hader dig.	I hate you.
Er Tom lærer her?	Is Tom a teacher here?
Hvad er din yndlingsfarve?	What is your favorite color?
Det vil måske regne i eftermiddag.	It might rain this afternoon.
Tom tæskede Mary.	Tom beat up Mary.
Vil I vente på os ved stationen?	Will you wait for us at the station?
Jeg ville gerne se dig før jeg tager af sted til Europa.	I'd like to see you before I leave for Europe.
Jeg forstår hende ikke.	I do not understand her.
Han er syg.	He is sick.
Jeg tvivler på om Bob kommer til tiden.	I doubt if Bob will come on time.
Hekse kan flyve på en kosteskaft.	Witches can fly on broomsticks.
Han efterlod sin paraply i en bus.	He left his umbrella in the bus.
Hvor lang tid tog det dig at køre fra Boston til Chicago?	How long did it take you to drive from Boston to Chicago?
Steve så meget lykkelig ud.	Steve looked very happy.
Jeg forsørger min familie.	I sustain my family.
En hvid båd kom til syne.	A white boat came into sight.
Din fars vens ven er ikke altid din fars ven.	A friend of your father's friend is not always your father's friend.
Hans hus er fuld af fluer.	His house is full of flies.
Politiet har ikke en mistænkt.	The police don't have a suspect.
Du har blod på hænderne.	You have blood on your hands.
Priserne er høje.	Prices are high.
Der er rene lagner under sengen.	There are clean sheets under the bed.
Diamanten blev opdaget af en dreng i 1873.	The diamond was discovered by a boy in 1873.
Hvad sker der udenfor?	What's going on outside?
Du må ikke forlade mig!	You mustn't leave me!
Væk os klokken syv.	Wake us up at seven o'clock.
Jeg har det godt.	I'm doing well.
Jeg ønskede ikke at hun skulle dø.	I didn't want her to die.
Appelsiner indeholder meget C-vitamin.	Oranges contain lots of vitamin C.
Bremserne på lastbilen svigtede.	The brakes failed on the truck.
Alle fjernsynsapparater var stillet ind på Fox News.	All the televisions were tuned to Fox News.
Hun besøgte ikke nogen.	She didn't visit anybody.
Jeg er ikke tilfreds med din opførsel.	I'm not happy with your behavior.
Mit rigtige navn er Tom.	My real name is Tom.
Jeg tager aldrig en taxi, bortset fra når det er absolut nødvendigt.	I don't use taxis unless it's absolutely necessary.
Vi bryder os ikke om regnen.	We don't like the rain.
Jeg foreslår at du får en snak med Tom.	I suggest you have a talk with Tom.
Han taler russisk.	He speaks Russian.
Det er hvad der foregår.	That's what's going on.
Dine bukser er beskidte.	Your pants are dirty.
Hold det her!	Hold this.
Fremkald venligst denne film.	Please develop and print this film.
Han er hendes ven.	He's her friend.
Har du noget imod, at jeg spørger hvorfor?	Do you mind if I ask why?
Mary var et vidunderbarn.	Mary was a child prodigy.
Sygeplejersken tog sin temperatur.	The nurse took his temperature.
Bosnien-Hercegovina kaldes "Bosna i Hercegovina" på bosnisk.	Bosnia and Herzegovina is called "Bosna i Hercegovina" in Bosnian.
Tom døde i en motorcykelulykke.	Tom died in a motorcycle accident.
Toget afgår om fem minutter.	The train leaves in 5 minutes.
Træstolen er dyr.	The wooden chair is expensive.
Alle mennesker er født frie og lige i værdighed og rettigheder. De er udstyret med fornuft og samvittighed, og de bør handle mod hverandre i en broderskabets ånd.	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.
Drej til venstre.	Turn left.
Katten lå udstrakt i fuld længde i sollyset der skinnede ind gennem vinduet.	The cat was lying stretched out at full length in the sunlight streaming through the window.
Omar Sharif, i sin tid en rigtig hjerteknuser, døde i en alder af 83.	Omar Sharif, a real heart-throb in his day, died at the age of 83.
Mary sagde at hun glædede sig til at besøge Tom.	Mary said she's looking forward to visiting Tom.
Det sidste tog er allerede kørt.	The last train has already gone.
Tom og Mary kæmpede som katte og hunde.	Tom and Mary fought like cat and dog.
Tom lader som om han er udmattet.	Tom acts like he's exhausted.
Lad os håbe at Tom og Mary kommer.	Let's hope Tom and Mary come.
Hvis jeg har forstået det rigtigt, så er jeg blevet taget ved næsen.	If I understand correctly, I've been taken for a ride.
Jeg blev solskoldet.	I got sunburned.
Min ven forsvandt som dug for solen.	My friend vanished into thin air.
Hvornår har Tom sagt det?	When did Tom say that?
Jo mere, jo bedre.	The more, the better.
Jeg savnede ham meget.	I missed him a lot.
Hun drak ikke mælken.	She didn't drink the milk.
Tog de bussen til museet?	Did they go to museum by bus?
Tom har ingen sociale færdigheder.	Tom has no social skills.
Hun arbejder i et callcenter.	She works in a call center.
Du er den eneste.	You are the only one.
Du ved ikke hvem jeg er.	You don't know who I am.
Den engelske sætning er blevet ændret. Derfor vil jeg bede dig om at overveje om den tyske sætning skal ændres.	The English sentence has been modified. Therefore, I would like to ask you to consider adapting the German sentence.
Han er min halvbror.	He's my half-brother.
Tænd for radioen.	Turn on the radio.
I dag er det tirsdag den første oktober.	Today is Tuesday, October 1st.
Ingen er fuldkommen.	Nobody's perfect.
Musen er under gulvet.	The mouse is under the floor.
Det træ du så, var ikke en eg.	The tree you saw was not an oak tree.
Måske skulle jeg tage en paraply med for en sikkerheds skyld.	Perhaps I should take an umbrella with me just in case.
Sandheden er ubestridelig.	The truth is undeniable.
Du har beskyldt ham for at have stjålet cyklen.	You accused him of having stolen the bike.
Det er kun en skramme.	It's only a scratch.
Hun ønsker at danse.	She wants to dance.
Jeg kan ikke drikke kaffe.	I can't drink coffee.
Jeg savner det sted.	I miss that place.
Vi overlod intet til tilfældighederne.	We left nothing to chance.
Du skal vide at jeg er forelsket i Mary.	You should know, I am in love with Mary.
Historien lyder troværdig.	The story sounds true.
Fransk er ret svært, er det ikke?	French is pretty hard, isn't it?
Det er et meget stort æble.	It's a very big apple.
Jeg kunne tale i timevis om biavl, men jeg ønsker ikke at kede dig.	I could tell you about beekeeping for hours, but I don't want to bore you.
En kat kom ud fra under skrivebordet.	A cat came out from under the desk.
Hun er den smukkeste kvinde i verden.	She's the most beautiful woman in the world.
Forhandlingerne er i fuld gang.	The negotiations are in full swing.
Mange tak for alt hvad I har gjort.	Thank you very much for all you have done.
Vi må operere med det samme.	We have to operate immediately.
Jeg ved at hendes brød vil være velsmagende.	I know that her bread will be tasty.
Tom ville have Mary til at tilgive John for hvad han havde gjort.	Tom wanted Mary to forgive John for what he had done.
Hvordan er det muligt?	How is that possible?
Denne støvsuger støjer forfærdeligt.	This vacuum cleaner is awfully loud.
Lægen gav mig en indsprøjtning.	The doctor gave me a shot.
Tom vågnede.	Tom woke up.
Ja så!	Really?
Dette er et skridt i den rigtige retning.	This is a step in the right direction.
Millioner af amerikanere mistede deres hjem under den finansielle krise.	Millions of Americans lost their homes during the financial crisis.
Det er mine penge.	That's my money.
Tom og Mary har lavet nogle honningkageegern.	Tom and Mary made some gingerbread squirrels.
Jeg er sulten!	I'm hungry.
Det er et mirakel! Linket virker!	It's a miracle! The link works!
Alle træets blade er blevet gule.	All the leaves on the tree turned yellow.
Muren er dækket af graffiti.	The wall is covered with graffiti.
Jeg må være døset hen.	I must've dozed off.
Hvornår flyttede du til Berlin?	When did you move to Berlin?
Brug ikke denne saks.	Don't use this pair of scissors.
Nabokonen lufter sin hund.	The neighbor is walking her dog.
Hvor tog du dine bukser af?	Where did you take your pants off?
Tom ankommer den 20. oktober.	Tom will arrive on October 20th.
Han er bange for hunde.	He's afraid of dogs.
Vi går i biografen.	We are going to the cinema.
Kabylien er beliggende i det nordøstlige Algeriet.	Kabylie is located in northeastern Algeria.
Bor han her?	Does he live here?
Verden udenfor er meget skræmmende.	The world outside is very scary.
Det viste sig at han var uskyldig.	He turned out to be innocent.
Tom vidste ikke at æbletræer vokser fra frø.	Tom didn't know apple trees grow from seeds.
Dysfunktionelle familier - dem går det tretten af på dusinet.	Dysfunctional families are a dime a dozen.
Er det derfor at Tom gerne ville tale med dig?	Is that why Tom wanted to talk to you?
Alle smiler.	Everyone's smiling.
Jeg løber hver dag.	I run every day.
Jeg siger at på en varm dag er der intet bedre end et koldt glas vand!	I say there's nothing better than a cold glass of water on a hot day!
Det var aldrig et problem før.	It was never a problem before.
Jo ældre du er, desto vaskeligere er det at lære et sprog.	The older you are, the more difficult it is to learn a language.
Vi hørte hende græde.	We heard her cry.
Jeg forklarer det senere.	I'll explain later.
Det er en vidunderlig verden.	It's a wonderful world.
En myldretidstrafikkø forsinkede min ankomst med to timer.	A rush-hour traffic jam delayed my arrival by two hours.
Jeg elsker dessert.	I love dessert.
Stå på række ved døren.	Line up at the door.
Tom tager fejl.	Tom is wrong.
Jeg er et menneske.	I am a man.
Menneskene adskiller sig fra dyrene ved det at de kan tænke og tale.	Human beings differ from animals in that they can think and speak.
De er alle i sikkerhed.	They're all safe.
Tom døde sidste år.	Tom died last year.
Der var ingen blomster eller træer i hans gade.	There were no flowers or trees on his street.
Tom blev bortvist fra skolen for at overtræde skolens regler.	Tom was expelled from school for breaking school rules.
Hvad er der galt med min kysseteknik?	What's wrong with my kissing technique?
Katten har to ører.	The cat has two ears.
Har du et juletræ?	Do you have a Christmas tree?
Hvad har du brug for?	What do you need?
Vi gjorde det!	We made it.
Der er gået ti år siden jeg kom hertil.	Ten years have passed since I came here.
Undskyld mit franske.	Pardon my French.
Jeg gør det aldrig mere.	I'll never do it again.
Jeg er led og ked af lektier.	I'm fed up with homework.
Det kan være dit eneste håb.	It may be your only hope.
Hvorfor lærte du ikke tysk mens du var i Tyskland?	Why didn't you learn German while you were in Germany?
Tom tog til lufthavnen for at sige farvel til Mary.	Tom went to the airport to see Mary off.
Jeg er ked af det, men jeg har allerede en kæreste.	I'm sorry, but I already have a boyfriend.
Er vi i fare?	Are we in danger?
Skoleåret begynder den tiende april.	The school year begins on the 10th of April.
Hendes onkel bor i Schweiz.	Her uncle lives in Switzerland.
På dette tv-apparat er der to års garanti.	This TV set has a two year guarantee.
De spiser råt kød.	They eat raw meat.
Hun besluttede sig for at blive læge.	She decided to be a doctor.
Der er stor forskel på hastighed og kvalitet på bredbånd fra land til land.	There are big differences in broadband speed and quality from country to country.
Min mor er bange for elevatorer.	My mother is afraid of elevators.
Du burde få fjernet det ukrudt.	You should get rid of these weeds.
Husk, at vi alle er i samme båd!	Remember that we're all in the same boat.
Hvem fortalte dig at vi var nødt til at gøre det?	Who told you that we had to do that?
Hun har hvide tænder.	She has white teeth.
Sami sagde at han havde en øse.	Sami said he had a ride.
De holder af fortællinger.	They like stories.
Hun gav sin far et slips.	She gave her father a tie.
Hvilke valg har jeg tilbage?	What choices do I have left?
Det begyndte med et kys.	It started with a kiss.
Jeg kan ikke sige det til min far.	I can't say that to my dad.
Hendes forældre elskede mig.	Her parents loved me.
Jeg drømte en drøm i nat om silke og fornemt stof eller om lighed og retfærdig dom.	I had a dream last night, about silk and fine cloth or about equality and fair trial.
Køb noget mælk på hjemvejen.	Buy some milk on your way home.
Der er en kat på bordet.	There's a cat on the table.
Lad mig google det for dig.	Let me google that for you.
Jeg nægter at bruge plastposer.	I refuse to use plastic bags.
Mary er en dyb tænker.	Mary is a deep thinker.
Nogen stjal mit ur.	Someone stole my watch.
Hun så aldrig sin far igen.	She never saw her father again.
Jeg drikker tre eller fire kopper kaffe om dagen.	I drink three or four cups of coffee a day.
Tom åbnede bagagerummet og fandt det tomt.	Tom opened the trunk and found it empty.
Jeg køber ind for min kæreste.	I'm shopping for my girlfriend.
Har du en mobil?	Do you have a cellphone?
Tom kan ikke svømme så godt som Mary.	Tom can't swim as well as Mary.
Tom er ude at lufte sin hund.	Tom is out walking his dog.
Tom kyssede Mary farvel.	Tom kissed Mary goodbye.
Jeg ser en stjerne.	I see a star.
Tom ville ikke i fængsel.	Tom didn't want to be sent to jail.
Sikke et kryb!	What a creep!
Tom og Mary så på fyrværkeriet sammen.	Tom and Mary watched the fireworks together.
Bob har været forlovet med Mary i over et år.	Bob has been engaged to Mary for over a year.
Reagan blev USAs præsident i 1981.	Reagan became President of the United States in 1981.
Jeg har lyst til at sende Tom et brev.	I want to send Tom a letter.
Paulina har en rosa hat.	Paulina has a pink hat.
Jeg kender enken efter Tom.	I know Tom's widow.
Hun er fra Østrig.	She is from Austria.
Han er kæderyger.	He's a chain smoker.
Ormehullet er stabilt.	The wormhole is stable.
Vil du være hjemme i aften?	Will you be at home tonight?
Hønerne er i kyllingeburet.	The hens are in the chicken coop.
Dette kryds er farligt.	This intersection is dangerous.
Bed mig ikke om penge.	Don't ask me for money.
Jeg elsker dig mere og mere for hver dag der går.	I love you more and more each day.
Det er gennemsnittet.	That's the average.
Hun sørgede for at ingen kunne se hende.	She made sure nobody could see her.
Lad mig vide, hvis du har brug for hjælp.	Let me know if you need any help.
Hold op med at lyve.	Stop lying.
For godt til at være sandt.	Too good to be true.
Absolut ikke!	No way!
De eneste fingeraftryk politiet fandt på dørhåndtaget, var Toms.	The only fingerprints that the police found on the doorknob were Tom's.
Jeg snakker stadig ikke meget fransk.	I still don't speak much French.
Jeg kan ikke løfte min højre arm.	I can't lift my right arm.
Jeg kender hende ikke særlig godt.	I don't know her very well.
Hvem har fortalt dig at mit navn var Tom?	Who told you my name was Tom?
Er din hest sort?	Is your horse black?
Det er dit problem nu.	It's your problem now.
Jeg har ikke set dem i evigheder.	I haven't seen them for ages.
Jo før, jo bedre.	The sooner, the better.
Verden er blå og du ligeså.	The world is blue, and so are you.
Spørgsmålet er hvem.	The question is who.
Børn kastede sten efter ham.	Children threw stones at him.
Jeg har en datter.	I have a daughter.
Jeg vil lære kurdisk.	I want to learn Kurdish.
Tom sagde at han var ved at spise.	Tom said that he was eating.
Dilma Rousseff er Brasiliens nuværende præsident.	Dilma Rousseff is the current President of Brazil.
Er der nogen chancer for at han kommer sig?	Is there any chance that he'll recover?
Han stjal mit ur.	He stole my watch.
I overmorgen fylder jeg tretten.	In two days, I'll turn 13.
Med en god bog i hænderne, behøver du aldrig at føle dig ensom.	With a good book in your hands you need never feel lonely.
Der er børn i Afrika, der sulter.	There are starving children in Africa.
Du er en meget heldig mand.	You're a very lucky man.
